Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
"Adipic acid, polypropyleneglycol, laurate",CCCCCCCCCCCC(=O)OCC(C)OC(=O)CCCCC(=O)O,C21H38O6,386.2668389,386.5,6.192,"83.04914,100;99.04406,38.105676921914;101.05971,88.3891450600952;113.05971,45.4834076649785;129.05462,95.4493914883967;131.07027,34.7040592637388;137.13248,31.037871343261;147.06519,63.3078841938166;183.17434,82.2359966739738;187.09649,35.1500491344773;189.11214,4.02902713734976;201.18491,2.22994935369265;203.0914,28.4904376748054;205.10705,66.2786302819563;241.21621,75.3571698541084;255.19547,2.60034772091617;257.21112,3.80225262680475;259.22677,75.5688260639504;341.26864,2.02585229420213;351.25299,6.39504119736942;369.26355,57.2303273112102;59.04914,21.7325572605639;75.04406,22.1785471313024;97.10118,16.8417869831431;103.07536,19.4118981026533;109.10118,40.5548416358001;115.07536,15.6398820772545;117.09101,24.9451961599516;123.11683,43.7750396855393;127.07536,43.4499962204248;127.14813,15.76838763323;133.08592,18.4367677073097;139.14813,19.0868546375387;143.07027,20.5835664071358;181.15869,21.2034167359589;223.20564,25.9203265552952;237.18491,16.5545392697861;41.03858,32.7462393227001;43.05423,38.831355355658;55.01784,12.0114899085343;55.05423,74.6995237735279;57.03349,11.6259732406078;57.06988,60.1406001965379;61.06479,11.8451886008013;67.05423,25.2929170761206;69.03349,48.7036057147177;69.06988,20.7574268652204;71.04914,18.0134552876257;71.08553,15.239247108625;79.05423,10.4240683347192;81.03349,14.5060095245294;81.06988,55.5824325345831;85.02841,15.254365409328;85.06479,14.8537304406985;87.04406,14.0373422027364;93.06988,44.7501700808829;95.08553,54.2293446216645;111.04406,12.7069317408723;125.05971,16.4713886159196","83.05024,14.7595443999156;101.0608,69.5950221472263;127.04007,54.5981860367011;127.07645,30.8690149757435;141.0921,9.53912676650496;145.05063,74.3883147015398;171.06628,31.0430288968572;173.08193,27.6471208605779;185.08193,19.9061379455811;187.09758,11.8276734866062;199.17035,100;43.01894,17.6650495676018;57.03459,24.1932081839274;59.01385,23.8029951487028;73.0295,15.0706601982704;85.0295,11.1527103986501;97.0295,9.25964986289812;99.04515,24.8998101666315;109.0295,5.47880194051888;125.02442,8.92216831892006;129.05572,11.7907614427336;143.03498,10.3617380299515;153.05572,7.69879772199958;167.07137,5.17823244041342;181.15979,16.953174435773;197.1547,18.7829571820291;239.20165,18.4032904450538;241.2173,12.2811643113267;257.21222,16.4996836110525;341.26973,17.7863319974689;367.249,10.3142796878296;41.00329,1.81396329888209;71.01385,4.60873233495043;75.04515,3.79666736975322;79.01894,1.48702805315334;95.01385,1.5292132461506;103.04007,2.09344020248893;113.0608,1.84032904450538;129.0921,4.04450537861211;183.17544,5.05167686142164;329.19696,1.57139843914786",66456-53-9,EPAPLT0067,DTXSID6047527,,
"6-[4-(2,5-difluorophenyl)-1,3-oxazol-5-yl]-3-(propan-2-yl)[1,2,4]triazolo[4,3-a]pyridine",CC(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=C(C=CC(=C4)F)F,C18H14F2N4O,340.1135674,340.3,3.457,"321.11462,18.1751883964022;313.1147,100;127.03538,8.20030791670043;140.03063,10.2665910380034;172.08692,17.6241795640548;174.10257,13.7671177376226;229.05718,9.52110850012155;232.05685,13.718499311239;242.05243,12.4787294384572;256.06808,13.8238392350701;259.06775,9.71558220565595;270.10888,64.7192285876347;274.07864,24.6738513896767;276.09315,44.6479215622721;278.1088,20.8654079896281;280.06808,14.1479620776274;285.05824,48.3672311806175;293.1197,81.0307106393323;294.08373,54.4364314075035;296.09938,31.5290495097642;297.0834,17.7457256300138;298.11503,10.0397050482133;311.11028,10.3719309618345;323.11028,9.24560408394782;339.10519,28.2148934446155","272.06409,27.5;296.10048,17.28;41.99854,20.22;204.02664,8.48;209.04688,26.72;251.09383,17.76;253.05311,8.73;254.05353,33.74;289.05311,8.84;294.08483,9.21;297.05934,100;305.08441,21.01;323.07499,21.95;337.09064,7.99",668981-02-0,EPAPLT0064,DTXSID0047294,CP-863187,668981-02-0
Nitrofurantoin,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],C8H6N4O5,238.0338193,238.16,-0.093,"192.04037,7.42705570291777;93.02092,71.8302387267905;139.01382,79.1663508904888;140.02164,32.0272830617658;168.04037,100;39.02293,19.7195907540735;53.00219,20.5987116331944;64.01818,13.7779461917393;80.01309,44.4259189086775;86.02365,20.8412277377795;87.03148,15.5513452065176;94.02874,48.9276241000379;97.03964,41.818870784388;107.02399,12.7699886320576;121.03964,75.7862826828344;178.02472,14.785903751421;221.03053,68.5941644562334","0,100;",67-20-9,EPAPLT0065,DTXSID7020972,,
"6-{2-[4-(1,2-benzothiazol-3-yl)piperazin-1-yl]ethyl}-4,4,8-trimethyl-3,4-dihydroquinolin-2(1H)-one methanesulfonate (pharma)",CC1=CC(=CC2=C1NC(=O)CC2(C)C)CCN3CCN(CC3)C4=NSC5=CC=CC=C54,C25H30N4OS,434.214033,434.6,1.6,"349.14814,12.4968098681412;0.0022283,0.000453551680136112;188.10699,2.10974053594215;190.12264,2.17779668226287;216.13829,100;232.09029,3.81114419396002;347.13249,16.2143768609102;351.16379,26.7035304125904;353.17944,10.1488728200766;393.21074,15.0063802637176;417.21074,4.32156529136538;41.03858,14.6065504040834;82.06513,5.59761803487878;85.07602,13.6452573373033;99.09167,8.71969374734156;104.04948,5.63164610803913;111.0263,6.74606550404083;124.07569,13.0157379838367;177.0481,36.3675031901319;186.09134,5.95491280306253;191.06375,10.4125903870693;203.06375,7.54572522330923;204.13829,5.87834963845172;218.07464,17.3458102934921;218.15394,13.2709485325393;220.09029,15.7890259464058;231.14919,6.71203743088048;245.16484,36.6822628668652;325.20229,5.8188005104211;332.12159,36.1548277328796;334.13725,8.09868141216504;336.1529,23.6665248830285;407.19001,30.6933219906423;409.20566,5.51254785197788;433.20566,7.05231816248405","218.07574,39.38;134.00699,85.17;188.10809,39.46;246.10704,50.83;390.20094,2;391.19619,8.03;405.17546,43.9;431.19111,24.97;77.03967,55.26;109.01174,100;140.02879,71.87;149.01789,33.03;163.03354,17.24;175.03354,25.01;177.04919,57.54;186.09244,17.49;201.04919,19.36;202.12374,24.65;216.06009,16.43;216.13939,32.51;231.15029,18.8;238.04444,17.34;243.15029,26.09;255.15029,39.1;257.16594,17.45;259.18159,17.33;321.17208,25.91;355.15981,24.08;399.21904,20.73;403.15981,55.89;407.19111,20.43;417.17546,68.76",676116-04-4,EPAPLT0070,DTXSID7047271,PD 0343701,676116-04-4
Prochloraz,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2,C15H16Cl3N3O2,375.03081,376.7,2.473,"308.00064,100;42.03383,10.6;43.05423,27.96;69.04472,80.07;82.02874,5.23;84.04439,5.425;86.06004,14.025;88.07569,3.625;95.02399,51.335;110.06004,5.46;112.07569,4.435;124.05054,13.29;126.06619,13.6;154.09749,4.015;196.93222,15.575;222.94787,45.635;265.95369,9.445;289.99007,4.81;374.02244,4.895;41.03858,19.885;52.01818,3.425;58.06513,5.985;70.02874,3.58;71.06037,3.245;97.03964,24.485;136.05054,4.8;138.06619,19.125;154.0611,5.89;186.9712,7.195;208.93222,7.975;220.93222,3.675;237.95877,16.405;239.97442,4.12;251.97442,3.205;298.01446,3.29;304.96459,4.225;326.04576,5.61;333.99114,3.57;340.06141,3.29;350.02244,3.59","67.03017,100;34.9694,25.2278356778988;110.06114,1.93017712763471;152.08294,1.75725569005001;186.97229,4.150114502033;188.98794,1.69182595690985;194.91767,20.6056923867832;208.93332,5.54750665981212;220.93332,15.7638921344114;222.94897,14.3478057671636;244.03014,23.054633827172;251.97552,2.18254895546105;280.00682,20.5309155489087;301.95479,1.76192924241716;305.98609,6.15974201990933;314.04686,2.70131326821517;357.99223,1.81333831845586;40.01927,1.36467729120905;82.06622,1.4815161003879;98.06114,0.897322054493621;122.03599,2.34144973594429;124.05164,1.42543347198205;125.07204,0.916016263962238;178.92276,0.869280740290695;235.94422,1.05622283497687;275.97552,0.939384025798009;277.99117,1.03752862550825",67747-09-5,EPAPLT0061,DTXSID4024270,,
"1,1,2,2-Tetrahydroperfluoro-1-decanol",C(CO)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C10H5F17O,464.0068935,464.12,7.451,"447.00361,61.289697908598;420.98796,10.5538342370256;95.0303,20.565453137103;101.00089,23.6638264910922;195.02391,17.1959721146398;221.00073,15.3369481022463;268.98189,16.8280402788536;295.01752,17.4864446165763;318.97869,20.6235476374903;320.99434,19.9070487993803;345.01433,15.0658404337723;395.01114,14.8528272656855;418.97231,24.3609604957397;445.00794,100","442.99339,18.6456692913386;18.99895,29.8740157480315;460.98397,100",678-39-7,EPAPLT0069,DTXSID7029904,2-(Perfluorooctyl)ethanol,678-39-7
"N,N-Dimethylformamide",CN(C)C=O,C3H7NO,73.05276385,73.09,-0.384,"46.06513,9.19309514251305;44.04948,100;72.04439,26.6318747490968","44.05057,100;56.01419,5.19324877659043;42.03492,17.6570458404075",68-12-2,NA,NA,,
Forchlorfenuron,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl,C12H10ClN3O,247.0512396,247.68,0.651,"129.0214,100;92.04948,7.03817557906777;65.03858,6.87374892765227;87.99485,2.27337718044038;94.06513,2.1053760366028;99.99485,8.83257077494996;102.0105,19.8563054046325;111.99485,2.18758936231055;114.0105,2.18401486988848;127.00575,10.0979410923649;148.05054,2.72733771804404;155.00067,12.8967686588504;194.01157,2.9418072633686;196.02722,1.86945953674578;206.01157,3.20274521018015","92.05057,38.4498027833594;127.00685,100;67.03017,7.49051127483814;50.00362,11.1855324849297;65.01452,6.43000669792364",68157-60-8,EPAPLT0060,DTXSID1034634,,
Retinol,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,C20H30O,286.2296656,286.5,6.158,"91.05423,77.5284921534698;93.06988,77.946178172922;95.08553,32.1916582134972;107.08553,61.9428366847664;119.08553,85.4764604093323;121.10118,66.8357300554926;123.11683,100;131.08553,40.1455934124948;133.10118,39.4951966107763;135.11683,47.848916999821;137.13248,7.36917477176442;145.10118,63.7030849096008;147.11683,43.1409988662808;149.13248,28.8442031147443;173.13248,12.4947789247568;175.14813,26.0278059550092;177.16378,20.180201682678;189.16378,4.43940569246375;239.17943,4.86902559818605;241.19508,21.1349125842831;243.21073,70.7560116952085;245.18999,16.6656721761442;245.22638,5.65069514887523;269.22638,59.4904230562683;67.05423,32.889790560296;69.06988,8.24034846947909;79.05423,53.1236947311892;105.06988,51.590190345486;117.06988,39.9665851184438;139.14813,13.5568948027925;179.17943,8.25228235574915;201.16378,18.0440360403365;203.17943,8.35968733217972;217.15869,7.39304254430455;227.17943,7.36917477176442;247.20564,6.42043081329435;253.19508,6.53976967599499;39.02293,9.64258010621159;55.05423,11.772778805418;65.03858,14.4280685005072;77.03858,23.2114087952742;81.06988,18.0440360403365;89.03858,29.6318396085685;103.05423,23.2352765678143;109.10118,11.1820514350498;115.05423,10.090100841339;129.06988,11.0567456292142;173.09609,11.2476878095352;175.11174,12.9243988304791","241.19617,78.7074829931973;255.21182,100;123.11792,19.4132653061225;133.10227,32.108843537415;135.11792,14.0986394557823;137.13357,12.6530612244898;149.13357,12.219387755102;201.16487,35.3571428571429;239.18052,33.4353741496599;243.21182,19.7448979591837;253.19617,70.578231292517;267.21182,63.562925170068;67.05532,21.5731292517007;79.05532,6.73469387755102;89.03967,5.70578231292517;91.05532,6.15646258503401;103.05532,14.5493197278912;105.03459,4.1921768707483;105.07097,85.0340136054422;107.08662,41.9642857142857;109.10227,7.23639455782313;119.08662,16.7006802721088;121.10227,4.2687074829932;131.08662,13.0442176870748;145.10227,4.23469387755102;147.11792,5.4421768707483;173.13357,4.01360544217687;177.16487,4.54081632653061;185.13357,4.29421768707483;187.14922,5.53571428571429;189.16487,5.66326530612245;199.14922,7.33843537414966;225.16487,10.578231292517;227.18052,31.6241496598639;237.16487,7.66156462585034;251.18052,6.59013605442177",68-26-8,EPAPLT0070,DTXSID3023556,,
Cyfluthrin,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,C22H18Cl2FNO3,433.064777,434.3,4.008,"95.04914,62.06;155.02582,10.1033333333333;157.04147,7.57666666666667;191.0025,8.14;226.06627,100;228.08192,10.73;311.1078,23.0866666666667;371.08448,10.2133333333333;398.09538,19.7633333333333;407.06115,9.31;0.040355,0.01079;67.05423,15.06;94.94498,12.49;97.06479,8.87;127.0309,1.77333333333333;150.03497,10.51;166.02988,8.51333333333333;172.99193,1.81;217.06593,19.6233333333333;244.07683,37.8133333333333;245.06085,1.97333333333333;336.10305,2.25666666666667;338.1187,2.44333333333333;432.0564,2.58;39.02293,7.02333333333333;41.03858,18.0633333333333;43.05423,4.88333333333333;55.05423,5.5;65.03858,3.74;69.06988,3.89666666666667;83.04914,8.23;119.04914,6.97;134.04005,3.86;148.99193,3.75333333333333;163.00758,3.99;174.03497,3.62333333333333;200.0706,4.61333333333333;201.07102,15.3033333333333;204.98176,3.85333333333333;242.06118,11.7333333333333;284.07175,4.35333333333333;306.09248,11.95;316.03019,7.72333333333333;400.05018,3.65","188.98794,36.3824473778095;215.05138,16.9104530859793;396.08082,8.59793078844096;405.0466,10.4174099179451;430.04185,21.9051016767749;93.03459,77.0745629682483;127.032,17.6739207991438;160.99303,100;164.01533,15.7474134855512;187.05647,20.2354620049946;222.05605,17.6239743132358;226.06737,76.4823403496254;240.04663,24.2097752408134;242.06228,16.8248305387085;266.06228,7.7702461648234;284.07285,13.4427399215127;18.99895,3.96004281127364;34.9694,7.82732786300392;77.03967,4.2739921512665;117.03459,16.0684980378166;119.05024,6.48590795576168;135.02517,20.378166250446;141.03459,4.30966821262933;144.96173,5.28719229397075;146.97738,9.5897252943275;155.02692,6.84266856938994;163.00868,16.931858722797;174.97229,7.92722083481983;176.05172,3.83874420264003;204.98286,6.10774170531573;224.05172,4.55226542989654;267.99376,26.9996432393864;270.00941,22.0549411344987;298.0885,8.56225472707813;378.01055,3.4962540135569;380.0262,3.28933285765252;416.0262,5.00178380306814",68359-37-5,EPAPLT0068,DTXSID5035957,,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,C16H30O4,286.2144094,286.41,3.529,"71.04914,100;97.10118,26.5980346279832;111.11683,71.1183902667291;113.13248,19.5414131960693;127.11174,31.0014038371549;143.10666,18.0673841834347;199.16926,53.1352363125877;217.17982,14.2536265793168;269.21112,5.68086102012167;43.05423,51.2540945250351;55.05423,16.050538137576;57.06988,13.6452971455311;73.06479,18.4089845577913;89.05971,12.1572297613477;99.04406,4.07580720636406;101.05971,22.0028076743098;129.12739,18.9611605053814;145.12231,17.0893776321947;41.03858,4.76836686944314;69.03349,4.23022929340197;75.08044,8.36218998596163;99.11683,8.05802526906879;115.11174,4.08048666354703;125.09609,3.65933551708002;131.14304,4.3378568086102;141.09101,4.18811417875526;147.13796,6.70098268600842","127.11284,25.89;129.12849,44.35;143.10775,40.185;215.16527,80.645;85.0295,30.405;87.04515,100;113.09719,4.77;115.11284,4.965;141.0921,17.11;145.1234,5.535;171.10267,5.87;197.1547,4.855;199.17035,7.14;69.03459,4.865;97.10227,10.4;99.11792,5.645;155.10775,3.36;269.17583,3.235",6846-50-0,EPAPLT0065,DTXSID1027635,,
"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich",CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,C28H46O4,446.3396099,446.7,10.352,"71.08553,43.5010587879399;133.02841,13.7087828980538;135.04406,30.3771301804981;139.07536,1.88060905515781;149.02332,14.3743067459917;151.03897,12.1811031561964;233.11722,6.64011293738026;247.13287,6.17122113542402;261.18491,13.5726530200666;263.20056,1.94615307048503;289.17982,100;291.19547,16.9506907330846;295.22677,9.06524150448725;297.24242,8.92911162649995;307.19039,11.8634667742261;429.33632,8.28879701522638;55.05423,45.8455177977211;57.06988,58.8081072905113;83.08553,26.4696984975295;85.10118,49.485731572048;95.08553,49.6722799233639;101.13248,4.1292729656146;107.08553,14.1222143793486;109.10118,20.5455278814158;111.11683,25.789049107593;141.16378,33.7198749621861;167.03389,3.34274478168801;191.07027,3.81163658364425;219.10157,4.38136533225774;231.10157,3.25199152969648;291.15909,3.3175355450237;349.23734,5.57628315014621;445.33124,54.8905919128769;43.05423,5.88383583745084;81.06988,25.9755974589089;93.06988,7.58798023595846;97.10118,26.9184229101543;123.11683,5.13764243218715;125.13248,6.01996571543814;127.14813,3.96793385096299;135.11683,4.79479681355249;137.05971,6.05525864676818;163.03897,8.64676817585963;165.05462,4.04356156095593;177.05462,5.78299889079359;193.12231,4.46707673691641;199.16926,6.90228899868912;351.25299,4.23010991227186;431.31559,4.55278814157507","261.186,68.1492925678972;121.0295,100;123.04515,68.9786957228818;125.13357,25.0040657017401;127.14922,7.19629208001301;133.10227,9.00959505610668;135.11792,24.7845178077736;137.13357,21.9466579931696;149.09719,18.2956578305416;153.12849,5.43990892828102;259.17035,16.0839160839161;287.16527,5.17970401691332;303.16018,4.73247682550008;305.17583,30.2813465604163;311.22278,4.46414051065214;345.20713,7.80614734103106;443.31668,4.65116279069767;65.03967,11.3270450479753;125.0608,55.1390469995121;127.07645,23.0443974630021;149.02442,34.6316474223451;151.04007,24.5974955277281;157.15979,21.9629208001301;165.01933,60.4081964547081;167.03498,42.6492112538624;169.05063,9.82273540413075;175.07645,11.4083590827777;177.0921,8.66807610993657;189.0921,11.0587087331273;203.10775,34.8430639128314;205.1234,31.0538298910392;233.08193,9.36737680923727;237.186,9.06651488046837;245.19109,9.35924540575703;247.09758,9.00959505610668;295.22787,14.3356643356643;317.17583,12.1564482029598;325.23843,10.7822410147992;331.19148,15.067490648886;361.23843,14.2543503008619",68515-49-1,EPAPLT0063,DTXSID0028666,,
Triflumizole,CCCOCC(=NC1=C(C=C(C=C1)Cl)C(F)(F)F)N2C=CN=C2,C15H15ClF3N3O,345.0855743,345.75,2.633,"278.0554,33.9288077279344;0.024312,0.0108958581447664;43.05423,100;69.04472,19.8160645758899;151.08659,6.41789069736668;272.01969,12.0815138282387;274.03534,8.79317189360857;286.03534,43.912928410745;288.05099,3.92351462220458;304.0459,14.496493317454;41.03858,33.3994971549557;42.03383,1.52838427947598;108.05562,1.93859997353447;124.05054,5.17401085086675;254.02911,2.08416038110361;259.02444,3.59269551409289;266.02911,3.66547571787746;268.04476,2.75241497948922;276.05099,1.67394468704512;284.03967,1.8856689162366","67.03017,100;34.9694,4.19333333333333;272.02078,5.19333333333333;324.07207,2.18333333333333;342.06265,2.47333333333333;40.01927,1.32333333333333;92.02542,3.62333333333333",68694-11-1,EPAPLT0064,DTXSID2032500,,
2-Hydroxybutanedioic acid,C(C(C(=O)O)O)C(=O)O,C4H6O5,134.0215233,134.09,-1.474,"43.01784,100;71.01276,86.9723049312722;73.02841,20.1329689603132;89.02332,68.7767671411674;117.01824,16.7108536933556;44.99711,37.1415752335114;75.00767,13.3213688461068;99.00767,27.9479544805645;45.03349,21.8460659950239","71.01385,100;89.02442,77.3521593236589;43.01894,78.02762888395;59.01385,19.4578812045148",6915-15-7,EPAPLT0063,DTXSID0027640,Malic acid,6915-15-7
Monocrotophos,CC(=CC(=O)NC)OP(=O)(OC)OC,C7H14NO5P,223.0609595,223.16,-0.488,"41.03858,83.178037646176;98.06004,69.5578763054218;127.01547,100;43.05423,7.43543243074229;67.01784,5.09036332937277;80.04948,11.2063035457445;109.00491,68.8512288162091;78.99434,16.4967794384341;94.98926,13.40754174223;111.02056,4.92151835407417;112.99982,7.32912263148021","92.9747,100;125.00092,44.7566666666667;137.00092,5.77666666666667;151.01657,4.33;165.03222,2.92",6923-22-4,EPAPLT0068,DTXSID9034816,,
Buprofezin,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,C16H23N3OS,305.1561835,305.4,2.433,"145.04301,4.26758938869665;201.10561,12.275498434668;203.12126,4.81133629922557;250.10086,88.0210907892569;41.03858,26.6188828472566;55.05423,22.4089635854342;57.06988,73.0927665183721;72.08078,16.2629757785467;106.06513,100;121.07602,5.67638820233976;134.06004,6.87098368759268;138.0372,51.0792552315044;139.12297,10.1417037403197;140.05285,15.0519031141869;185.1107,6.17070357554787;208.05391,41.7614104465315;222.10594,8.86472235953205;264.11651,12.2260668973472;278.16855,18.9652331520844;58.06513,6.86274509803922;59.99025,12.2013511286868;65.03858,10.2076124567474;77.03858,10.4547701433515;79.05423,28.5549513923216;85.07602,7.73603559070687;94.06513,7.8596144340089;97.07602,5.08320975449003;98.0059,11.0809029494151;104.04948,27.0555280935904;114.0372,22.6314055033778;120.04439,5.19855000823859;136.02155,5.73405832921404;290.13216,7.42296918767507;304.14781,7.79370571758115","219.09614,4.22061543635446;32.98044,13.502606356146;56.05057,9.02976290566672;57.97569,100;114.03829,29.7124600638978;136.02264,13.7464267697999;139.12407,13.4185303514377;167.11899,8.1385572557592;171.09614,14.2845131999327;201.10671,5.27156549520767;302.13326,32.9662014461073;41.99854,7.66773162939297;59.99134,9.39128972591222;81.04582,7.71817723221792;83.06147,12.7627375147133;92.05057,6.32251555406087;97.07712,7.66773162939297;109.04074,8.50008407600471;111.05639,12.0817218765764;118.02984,15.5036152682025;252.11761,10.2824953758197;254.13326,6.61678157053977;288.11761,12.2582814864638",69327-76-0,EPAPLT0060,DTXSID8034401,,
